zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes,lat,lon,bws_raw,gws_raw,sev_raw,x_bws,x_gws,x_sv,x_a,spei3_t,spei12_t,spei3_lag1,spei12_lag1,spei3_lag2,spei12_lag2,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3
8921,Bassin du Buëch partie du 05,05,alerte_renforcee,3,[],1,44.47350413731229,5.7465123980474555,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.12578134670186586,-1.385474024133252,-2.070227904371968,-1.2175516509794613,-1.2897598825541186,-1.72382230984504,-0.9286251632648302,0.22110338216093944,0.4710329724652281,0.3784898137318581,0.2197055217539139,0.5086270235994075,0.4092492707838428
8922,Bassin Méouge partie 05,05,alerte_renforcee,3,[],1,44.24938007000627,5.7476122626358475,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.161033780027915,-1.4977369430285397,-1.9600118461784772,-1.2264821373318107,-1.307786344204341,-2.267176799152009,-0.9502320975500749,0.23586021471602978,0.4670945673521398,0.38083633743792394,0.2311451287532444,0.4949510057829609,0.4016865807792793
8924,Bassin Moyenne Durance Amont partie 05,05,alerte,2,[],1,44.45106861199562,6.197690600211326,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.14716219768779007,-1.7317050935194624,-2.3983408068324867,-1.4958026229264723,-1.9017595899837718,-1.9233067718634256,-1.5847577593323123,0.23005350582946585,0.5128040926111311,0.41637564252685116,0.22683409666164467,0.5452830765426017,0.44392017825587066
8925,Bassin de la Haute-Durance,05,alerte,2,[],1,44.784256336675575,6.676689651212762,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.08015557430538728,-2.4007378713787224,-3.7190164854556804,-1.8110010557688383,-2.3258074007548353,-1.4563983589078298,-1.8933166292767774,0.20200422162287865,0.6113228705264534,0.49995791227937103,0.201900176052413,0.6502895200448712,0.5405250031588136
8926,Bassin Souloise-Séveraisse,05,vigilance,1,[],1,44.80704440282905,6.1480537714249905,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.049016619058476305,-1.979891204078738,-3.7190164854556804,-1.621596231284806,-3.7190164854556804,-2.152883425682591,-2.405345666058716,0.14210404635807516,0.6017305656440199,0.4735919299483051,0.14399456336810257,0.6502895200448712,0.5263498634360654
8927,Bassin Haute-Romanche,05,vigilance,1,[],1,45.03410628825239,6.307650549476441,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.019666958201430884,-2.0394793300375658,-3.258385422236796,-1.3234066468285777,-1.4707532315495455,-1.9701425505563916,-1.3778423732580638,0.12981814181326543,0.5782982259788452,0.4459108330047979,0.12909739801657222,0.6196551147539797,0.4890483318186525
8923,Bassin E(A)ygues partie 05,05,alerte_renforcee,3,,0,44.41528239540806,5.505295495055771,0.029968781396746635,,0.3267814449866165,0.04994796899457773,,0.10892714832887217,0.1378503822396879,-1.4823735366694075,-1.9396809244785385,-1.2948014754033348,-1.1680033474788467,-1.6122740132341289,-0.8091164623540473,0.08674432802741455,0.4645163800204343,0.32291285787060275,0.07191523783111932,0.4923446750285437,0.3429414052309262
9444,Allier,07,alerte,2,[],1,44.6868831232366,3.9294622480611725,0.218720480799675,0.016853200271725655,0.2389405553103034,0.364534134666125,0.11235466847817104,0.07964685177010113,0.13253586313251073,-1.7637328989732142,-3.7190164854556804,-2.7947302382990986,-1.6142760270416006,-1.5462660978322398,-1.2276098070698067,0.2457096316477103,0.5980882040885325,0.4989506306652455,0.21741919986170954,0.6502895200448712,0.5443240188441625
9445,Ardèche,07,alerte,2,[],1,44.54562853214226,4.4434240576825825,0.029968781396746635,0.24447600543498993,0.3267814449866165,0.04994796899457773,1.0,0.10892714832887217,0.24992568008099764,-2.0039625052760344,-3.7190164854556804,-2.3126621834597723,-1.4108842589707415,-1.7924640254892195,-1.060947428660844,0.25494722932644803,0.6021986793736129,0.5055027195808799,0.14808900705147215,0.6502895200448712,0.5273521723420277
9446,Beaume-Chassezac,07,alerte_renforcee,3,[],1,44.48776286158407,4.136560473844953,0.029968781396746635,0.016853200271725655,0.3267814449866165,0.04994796899457773,0.11235466847817104,0.10892714832887217,0.13253586313251073,-1.7637328989732142,-3.7190164854556804,-2.7947302382990986,-1.6142760270416006,-1.5462660978322398,-1.2276098070698067,0.08841654881193667,0.5980882040885325,0.45469806888036157,0.07787573973605906,0.6502895200448712,0.5101641515535641
9447,Cance,07,alerte_renforcee,3,[],1,45.2529310799571,4.704845274191137,0.030133234336972237,0.016853200271725655,0.3357465806879242,0.05022205722828706,0.11235466847817104,0.11191552689597473,0.1539424707552083,-2.200881755397821,-3.7190164854556804,-1.9346104109838238,-1.3588165717362228,-2.4334847266930972,-0.9718339608343103,0.09625997167296246,0.6064255602596754,0.4658738652677095,0.08095602887227434,0.6502895200448712,0.5109181981281226
